epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1819.04,2.46024,3.59227,9.21647,0.01054,1.18107,0.56376,0.50491,0.50994,0.24925,0.55011,0.45696,0.45204,0.16916,2.38499,3.27108,9.338,0.01226,0,0.000970192,0.000970192,0.000970192
29,1881.78,2.43904,3.56135,9.12316,0.01062,1.15755,0.56948,0.49554,0.5064,0.25129,0.56005,0.46879,0.46693,0.17812,2.38382,3.28669,9.32224,0.01208,0,0.00094023,0.00094023,0.00094023
30,1946.34,2.45092,3.59844,9.12576,0.01059,1.18045,0.57568,0.50368,0.51828,0.25522,0.54368,0.46795,0.46224,0.18012,2.37581,3.28944,9.36108,0.01208,0,0.000909827,0.000909827,0.000909827
31,2010.12,2.44104,3.5345,9.07677,0.01061,1.17426,0.5781,0.51035,0.52699,0.25708,0.56056,0.47463,0.47599,0.18271,2.3562,3.2547,9.2705,0.01183,0,0.000879046,0.000879046,0.000879046
32,2073.86,2.42874,3.52534,9.00142,0.01038,1.17078,0.6027,0.49808,0.53234,0.26518,0.58345,0.46945,0.48332,0.18745,2.32252,3.20138,8.99223,0.01167,0,0.000847948,0.000847948,0.000847948
33,2138.32,2.44679,3.55381,9.03422,0.01018,1.20355,0.58929,0.50482,0.53685,0.2709,0.57117,0.46858,0.48262,0.18898,2.33565,3.22513,8.99407,0.0115,0,0.000816596,0.000816596,0.000816596
34,2201.09,2.39237,3.48211,8.92545,0.01033,1.18089,0.58946,0.51051,0.53091,0.2644,0.57886,0.47175,0.48381,0.19051,2.31094,3.21725,9.22843,0.01142,0,0.000785052,0.000785052,0.000785052
35,2264.85,2.41598,3.50374,8.93381,0.01003,1.15303,0.57617,0.5104,0.52157,0.26084,0.56482,0.47258,0.47425,0.18719,2.35432,3.21651,9.2974,0.01172,0,0.00075338,0.00075338,0.00075338
36,2329.32,2.39731,3.46015,8.86627,0.01027,1.13838,0.60449,0.511,0.54311,0.27159,0.5824,0.47658,0.48546,0.1831,2.30406,3.21937,8.93052,0.01152,0,0.000721645,0.000721645,0.000721645
37,2393.89,2.39555,3.47184,8.81929,0.00998,1.13839,0.5864,0.51811,0.5393,0.26896,0.57789,0.48828,0.49635,0.19861,2.32311,3.13738,8.93115,0.01181,0,0.00068991,0.00068991,0.00068991
38,2458.94,2.38127,3.47872,8.75679,0.00989,1.13851,0.59236,0.51684,0.53729,0.27167,0.58089,0.48426,0.48668,0.19305,2.32191,3.16595,8.91318,0.0115,0,0.000658238,0.000658238,0.000658238
39,2522.84,2.36651,3.41565,8.7421,0.01,1.14294,0.60183,0.52008,0.55322,0.28101,0.5859,0.48937,0.50438,0.19848,2.30644,3.14482,8.72907,0.01139,0,0.000626694,0.000626694,0.000626694
40,2586.19,2.38806,3.4463,8.71962,0.00999,1.14389,0.60659,0.51335,0.54222,0.27543,0.58827,0.4861,0.49436,0.19468,2.27865,3.13189,8.98506,0.01122,0,0.000595342,0.000595342,0.000595342
41,2651.46,2.37454,3.42306,8.61843,0.00971,1.10977,0.60492,0.51276,0.54573,0.28342,0.58859,0.47765,0.49636,0.19872,2.27874,3.11949,8.68847,0.01115,0,0.000564244,0.000564244,0.000564244
42,2716.27,2.36373,3.39333,8.58836,0.01003,1.13037,0.60571,0.51889,0.54913,0.28362,0.59155,0.48753,0.4992,0.20003,2.2527,3.11331,8.78288,0.01103,0,0.000533463,0.000533463,0.000533463
43,2780.93,2.34283,3.40724,8.63383,0.00977,1.1231,0.61049,0.51248,0.54803,0.28041,0.593,0.4866,0.501,0.19753,2.27215,3.10861,8.67243,0.01117,0,0.00050306,0.00050306,0.00050306
44,2845.43,2.3503,3.37004,8.55159,0.00996,1.1025,0.60903,0.51433,0.55367,0.28581,0.59327,0.49267,0.50974,0.20154,2.27218,3.08466,8.70724,0.01105,0,0.000473098,0.000473098,0.000473098
45,2910.56,2.33946,3.37097,8.58109,0.00966,1.10084,0.60605,0.52111,0.54797,0.27873,0.59107,0.49006,0.50278,0.19317,2.25552,3.11023,8.74712,0.01127,0,0.000443637,0.000443637,0.000443637
46,2974.32,2.32109,3.36666,8.52844,0.00988,1.12902,0.60918,0.51973,0.55252,0.28253,0.59632,0.48377,0.50431,0.19708,2.26981,3.13492,8.74483,0.01094,0,0.000414735,0.000414735,0.000414735
